Date,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,9/5/20,9/6/20,9/7/20,9/8/20,9/9/20,9/10/20,9/11/20,9/12/20,9/13/20,9/14/20,9/15/20,9/16/20,9/17/20,9/18/20,9/19/20,9/20/20,9/21/20,9/22/20,9/23/20,9/24/20,9/25/20,9/26/20,9/27/20,9/28/20,9/29/20,9/30/20,10/1/20,10/2/20,10/3/20,10/4/20,10/5/20,10/6/20,10/7/20,10/8/20,10/9/20,10/10/20,10/11/20,10/12/20,10/13/20,10/14/20,10/15/20,10/16/20,10/17/20,10/18/20,10/19/20,10/20/20,10/21/20,10/22/20,10/23/20,10/24/20,10/25/20,10/26/20,10/27/20,10/28/20,10/29/20,10/30/20,10/31/20,11/01/20,11/02/20,11/03/20,11/04/20,11/05/20,11/06/20,11/07/20,11/08/20,11/09/20,11/10/20,11/11/20,11/12/20,11/13/20,11/14/20,11/15/20,11/16/20,11/17/20,11/18/20,11/19/20,11/20/20,11/21/20,11/22/20,11/23/20,11/24/20,11/25/20,11/26/20,11/27/20,11/28/20,11/29/20,11/30/20
New Mexico,2,3,3,4,4,5,6,6,9,11,12,11,13,22,26,22,31,31,37,51,43,55,64,68,71,70,84,84,89,82,79,95,88,74,101,86,101,89,104,128,132,123,126,122,143,143,147,142,153,161,172,166,154,155,166,149,145,148,153,153,144,141,153,154,147,140,136,138,138,111,144,133,134,134,127,124,143,107,111,128,127,141,168,168,179,180,154,159,145,122,117,112,112,118,116,112,105,116,120,121,129,132,148,164,170,178,184,187,184,190,195,206,207,218,226,249,247,253,244,253,255,255,261,270,272,280,278,275,286,284,289,288,293,296,327,325,330,318,304,287,282,233,221,204,198,195,188,186,188,186,179,173,171,170,156,151,134,133,138,134,143,141,149,147,140,138,135,125,127,116,122,126,127,123,124,118,113,103,94,88,94,88,93,100,106,110,110,112,122,117,120,124,135,146,162,169,181,186,195,207,205,216,229,233,235,256,277,299,320,347,358,390,395,417,457,504,517,544,563,598,632,631,628,671,725,755,753,730,790,820,779,824,837,850,863,876,890,903,917,931,946,960,975,990,1005,1020,1036,1052,1068,1085,1101,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118
New York,75,118,179,327,561,1040,1408,2080,2846,3468,4048,4739,5292,5999,6351,6540,7167,7587,7873,8327,8776,9073,9307,9146,9588,9896,9909,9599,9410,9133,9021,9056,8845,8321,8054,7788,7555,7211,6282,5681,5856,6391,6356,6195,5944,5895,5845,5246,4405,4053,3851,3727,3470,3300,3156,2878,2711,2586,2470,2383,2226,2201,2159,2104,2045,2051,1958,1915,1763,1671,1628,1628,1570,1514,1468,1447,1391,1322,1278,1315,1303,1200,1132,1094,1047,1013,920,867,823,787,759,747,735,728,712,695,692,663,659,649,644,646,665,666,664,658,635,624,630,648,665,668,656,674,683,693,651,632,633,654,659,705,725,752,750,754,729,723,715,697,703,700,699,704,717,671,672,668,652,652,652,643,673,662,651,661,654,652,642,631,640,645,646,651,664,654,653,643,623,621,609,604,604,600,591,618,608,605,623,659,677,697,711,743,767,772,752,724,705,686,689,695,695,704,734,745,764,752,771,791,789,788,789,798,815,817,818,855,917,965,1026,1125,1229,1279,1294,1323,1374,1439,1438,1398,1386,1400,1400,1382,1328,1344,1393,1428,1423,1396,1509,1533,1523,1563,1598,1625,1738,1739,1863,1951,1959,2142,2223,2308,2396,2487,2582,2680,2783,2889,2999,3113,3231,3355,3482,3615,3753,3896,4044,4198,4358,4524,4524,4524,4524,4524,4524,4524,4524,4524,4524
North Carolina,4,5,8,14,19,27,36,42,55,69,80,91,108,117,130,143,148,171,186,202,219,237,247,268,264,271,264,271,278,267,249,255,269,277,284,283,287,305,321,332,352,344,360,393,402,426,417,422,429,404,386,398,404,419,419,439,444,445,442,456,497,536,536,555,583,595,612,611,640,653,674,665,680,657,707,725,773,805,831,859,941,958,992,998,1046,1073,1080,1087,1140,1166,1225,1222,1241,1241,1256,1254,1254,1245,1249,1258,1318,1317,1318,1357,1390,1420,1453,1541,1573,1638,1594,1578,1592,1611,1569,1626,1617,1732,1816,1871,1970,2018,2022,2016,2029,2000,1928,1905,1890,1950,1991,1946,1948,1986,2005,1973,1960,1917,1908,1850,1819,1752,1697,1639,1627,1598,1592,1513,1478,1497,1472,1429,1402,1399,1409,1398,1401,1440,1500,1527,1553,1600,1634,1636,1652,1652,1616,1641,1626,1611,1604,1574,1533,1550,1474,1433,1351,1311,1211,1209,1187,1179,1179,1242,1285,1345,1324,1327,1332,1331,1323,1288,1301,1324,1346,1358,1354,1347,1305,1067,1146,1162,1302,1276,1434,1531,1762,1786,1821,1838,1996,1856,1889,1920,1935,2027,1996,2080,2061,2038,2026,2008,2012,2081,2010,2081,2162,2221,2290,2303,2335,2494,2558,2623,2691,2760,2831,2903,2978,3054,3132,3213,3295,3379,3466,3555,3646,3740,3836,3934,4035,4138,4138,4138,4138,4138,4138,4138,4138,4138,4138
North Dakota,1,1,1,1,3,4,4,4,4,5,6,5,6,9,10,11,12,14,15,15,13,16,17,16,16,16,15,15,14,15,15,16,18,16,34,40,42,43,45,45,51,39,40,45,50,51,51,51,50,46,40,39,41,43,45,44,43,42,44,46,49,48,55,58,59,60,64,74,79,74,74,75,61,49,36,29,27,23,24,32,34,32,32,37,41,36,36,37,39,39,35,31,32,32,32,30,30,28,30,30,28,28,29,28,30,30,32,37,36,38,43,46,46,44,46,51,59,62,66,74,85,85,85,85,91,95,98,98,102,115,118,117,118,122,123,133,123,115,122,124,112,114,113,119,125,123,129,134,133,136,130,142,142,134,142,133,128,143,153,165,185,184,193,207,214,223,234,250,261,259,253,257,261,266,264,276,284,267,263,259,244,260,278,290,313,318,326,364,351,340,345,349,378,390,379,396,395,391,413,409,395,401,393,404,411,423,430,452,478,499,531,553,554,584,610,640,662,673,700,775,745,771,775,802,820,801,781,820,868,935,1006,1032,1070,1110,1152,1195,1240,1286,1334,1384,1436,1490,1546,1604,1664,1726,1791,1858,1927,1999,2074,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152
Ohio,4,7,9,12,16,23,32,47,56,71,88,107,138,166,185,213,233,263,290,311,333,341,360,369,372,373,367,359,366,360,358,378,415,461,567,714,849,920,903,897,866,766,624,487,435,455,476,511,535,563,593,600,610,586,610,623,595,615,612,592,604,563,540,549,525,529,531,544,549,562,570,575,579,572,535,539,518,515,501,478,479,481,456,440,423,408,402,398,389,381,391,382,391,407,407,445,472,487,523,566,588,620,647,701,742,786,787,809,872,931,946,961,977,987,1016,1045,1024,1086,1147,1206,1271,1299,1304,1324,1346,1372,1334,1331,1317,1347,1369,1352,1338,1306,1287,1326,1307,1349,1345,1272,1280,1255,1230,1202,1121,1074,1126,1117,1110,1103,1135,1136,1126,1101,1063,1047,1012,948,940,927,927,931,941,941,958,975,1011,1022,1065,1072,1159,1169,1183,1189,1209,1185,1169,1055,1028,996,983,969,978,1021,1070,1079,1071,1039,997,986,954,909,891,880,900,923,929,948,1008,1033,1081,1131,1137,1157,1166,1199,1248,1278,1328,1356,1406,1459,1475,1563,1654,1698,1824,1863,1921,2002,2049,2084,2137,2226,2333,2372,2443,2477,2644,2833,2842,3070,3185,3304,3427,3555,3688,3825,3968,4116,4270,4430,4595,4766,4944,5129,5321,5519,5725,5939,6161,6391,6391,6391,6391,6391,6391,6391,6391,6391,6391
Oklahoma,1,1,2,2,6,7,7,9,10,13,21,29,39,46,52,57,66,80,90,95,112,118,121,129,115,115,115,101,102,106,101,105,96,96,85,88,87,89,90,94,94,104,95,86,86,83,86,90,94,103,109,102,104,102,97,91,88,81,86,94,90,95,107,103,112,108,96,102,109,103,104,99,93,100,85,70,65,54,69,79,82,91,96,92,105,90,96,97,103,120,145,154,173,183,203,247,265,281,326,331,341,372,370,377,373,347,349,389,373,369,389,429,426,455,495,539,567,575,590,615,626,646,703,706,721,754,719,670,655,641,647,711,718,860,1036,1064,1046,1110,1053,1093,991,845,813,849,809,824,764,763,766,752,691,672,663,674,682,678,655,646,652,693,686,689,687,694,702,697,645,679,708,744,747,754,782,826,833,784,784,808,830,810,800,782,821,858,894,908,945,989,1021,1065,1098,1108,1125,1132,1136,1101,1075,1041,1021,1005,1018,1006,1034,916,970,1018,1022,1028,1076,1125,1234,1172,1164,1180,1182,1174,1121,1130,1127,1151,1177,1235,1221,1317,1348,1332,1266,1185,1101,1091,1011,922,877,834,794,755,718,683,650,618,588,559,532,506,481,458,435,414,394,375,356,339,322,307,292,277,264,251,239,227,216
Oregon,3,4,7,8,9,12,14,18,22,21,27,33,43,49,55,59,69,67,73,69,60,74,66,63,64,71,60,67,66,74,72,69,59,66,68,55,53,53,57,56,56,58,57,57,54,55,55,57,55,53,58,65,67,68,70,75,78,75,74,71,70,68,65,56,57,53,55,48,46,39,43,37,34,34,38,38,42,45,50,53,52,55,63,55,60,89,93,94,109,115,115,139,128,159,165,161,171,196,186,180,168,175,172,178,192,201,200,197,212,247,260,262,270,273,278,269,271,260,274,277,292,314,323,332,335,328,344,344,333,330,315,329,335,311,320,324,333,345,341,332,334,325,327,322,299,306,313,311,303,296,292,297,283,287,284,280,272,264,266,258,242,239,243,245,243,228,233,226,231,223,222,215,225,221,223,213,211,201,199,188,181,186,185,164,187,197,201,211,206,209,237,236,236,258,282,283,288,286,283,287,285,264,276,279,294,293,304,322,338,345,355,345,349,361,344,344,342,325,332,337,326,274,345,346,367,377,382,398,479,434,455,505,526,548,571,595,620,646,673,701,730,761,793,826,861,897,934,973,1014,1056,1101,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147
Pennsylvania,6,10,14,20,26,39,50,66,88,119,158,227,291,349,418,494,574,678,782,889,1086,1165,1282,1413,1517,1576,1640,1611,1621,1595,1516,1446,1423,1405,1419,1423,1375,1398,1333,1446,1474,1357,1388,1378,1413,1464,1370,1339,1334,1230,1323,1247,1210,1141,1113,1152,1245,1092,1064,1043,1021,966,946,823,887,857,861,878,868,832,838,751,781,776,710,682,670,652,674,635,603,588,547,544,540,528,521,505,502,524,491,471,464,444,425,405,388,378,390,427,461,485,494,523,551,561,556,562,584,639,647,639,649,662,680,707,704,727,756,770,747,767,792,790,800,795,799,868,885,851,861,888,905,909,941,946,959,957,928,908,898,843,806,787,777,749,742,754,761,756,782,808,815,838,823,775,747,712,684,669,661,658,651,645,625,603,623,631,636,656,684,750,808,816,815,813,821,801,785,732,744,765,766,780,841,832,868,831,800,812,813,776,784,772,785,814,840,843,958,966,980,1032,901,1055,1072,1006,1061,1129,1156,1366,1236,1245,1347,1344,1363,1405,1410,1425,1509,1474,1485,1559,1641,1672,1708,1838,1936,2074,2098,2133,2203,2442,2543,2649,2759,2874,2993,3118,3247,3382,3523,3670,3822,3981,4147,4319,4499,4686,4881,5084,5295,5515,5515,5515,5515,5515,5515,5515,5515,5515,5515
Puerto Rico,1,1,1,1,1,2,3,3,4,5,7,8,9,11,15,20,29,34,36,34,50,50,48,48,48,52,58,48,60,56,50,51,51,49,47,45,50,54,40,53,30,27,23,20,15,26,18,43,64,62,65,75,76,70,83,59,56,59,54,52,57,55,59,64,65,72,77,69,70,73,78,79,74,76,82,88,88,84,88,87,89,146,139,171,173,168,179,187,121,131,111,118,121,109,96,108,94,110,102,96,105,117,109,104,86,95,98,111,102,104,109,103,104,191,178,173,179,208,226,248,204,201,233,245,283,298,344,350,402,380,414,407,441,440,424,414,432,443,402,476,467,480,498,513,480,558,507,530,576,583,632,645,635,610,555,563,616,551,528,531,555,556,551,430,401,463,449,425,422,369,386,466,402,322,277,241,311,298,215,297,334,371,407,339,381,397,370,443,557,637,675,632,625,711,746,631,638,707,839,871,746,692,709,624,555,467,430,461,449,427,428,418,400,535,542,503,469,517,531,586,473,422,653,661,744,741,693,680,823,680,693,693,688,682,677,672,667,662,657,652,647,642,637,632,627,622,617,613,608,603,599,594,589,585,580,576,571,567,563,558,554
Rhode Island,2,3,3,4,6,6,7,9,12,14,14,17,21,25,30,43,52,62,69,73,81,90,96,106,126,155,145,220,249,226,289,257,257,350,306,292,346,321,370,390,360,377,390,374,347,344,338,323,309,291,278,287,280,273,260,243,257,257,240,233,212,206,206,200,192,191,217,222,217,217,199,181,180,142,132,128,124,123,132,129,124,119,115,89,73,93,83,77,77,72,72,72,64,68,65,58,56,56,56,52,53,56,53,46,46,46,44,40,35,43,47,47,47,32,49,50,43,46,46,46,71,62,62,67,69,69,69,60,57,60,62,62,62,62,87,106,105,115,114,114,114,104,95,97,94,102,102,102,98,95,93,90,85,85,85,91,91,95,90,98,98,98,104,97,94,103,94,94,94,92,90,89,79,80,80,80,42,84,85,91,95,95,95,127,94,97,101,102,102,102,115,113,117,118,80,80,80,70,73,82,86,128,128,128,142,149,147,162,174,174,174,125,195,198,199,200,200,200,293,241,280,308,347,347,347,382,399,403,388,394,394,416,422,428,435,441,447,454,461,468,475,482,489,496,503,511,518,526,534,542,550,558,558,558,558,558,558,558,558,558,558
